;Slug;Nom;Nom simple;Population en 2012;Longitude GRD;Latitude GRD;LongitudeDMS;LatitudeDMS
1;paris;PARIS;paris;2125851;9;54289;022040;485136
2;marseille;MARSEILLE;marseille;797491;3377;48107;052235;431748
3;lyon;LYON;lyon;445274;2783;50843;045029;454532
4;toulouse;TOULOUSE;toulouse;390301;-994;48449;012631;433616
5;nice;NICE;nice;343123;5480;48558;071606;434207
6;nantes;NANTES;nantes;270343;-4323;52464;-013314;471302
7;strasbourg;STRASBOURG;strasbourg;263941;6013;53982;074453;483501
8;montpellier;MONTPELLIER;montpellier;225511;1711;48457;035236;433640
9;bordeaux;BORDEAUX;bordeaux;215374;-3240;49820;-003446;445016
10;rennes;RENNES;rennes;206194;-4463;53460;-014051;480651
11;havre;LE HAVRE;le havre;190924;-2461;54999;000716;492956
12;reims;REIMS;reims;187181;1880;54739;040143;491555
13;lille;LILLE;lille;184647;801;56258;030327;503755
14;saint-etienne;SAINT-ETIENNE;saint etienne;180438;2281;50482;042323;452602
15;toulon;TOULON;toulon;160712;3993;47917;055550;430730
16;grenoble;GRENOBLE;grenoble;153426;3766;50208;054335;451113
17;angers;ANGERS;angers;151322;-3213;52748;-003320;472822
18;dijon;DIJON;dijon;150138;3006;52581;050231;471923
19;brest;BREST;brest;149649;-7581;53767;-042913;482324
20;le-mans;LE MANS;le mans;146064;-2377;53338;001149;480015
21;clermont-ferrand;CLERMONT-FERRAND;clermont ferrand;137154;834;50866;030513;454647
22;amiens;AMIENS;amiens;135449;-43;55436;021752;495331
23;aix-en-provence;AIX-EN-PROVENCE;aix en provence;134324;3454;48364;052644;433140
24;limoges;LIMOGES;limoges;133924;-1194;50927;011542;455004
25;nîmes;NIMES;nimes;133406;2248;48708;042136;435013
26;tours;TOURS;tours;132677;-1831;52659;004118;472334
27;villeurbanne;VILLEURBANNE;villeurbanne;124152;2825;50851;045246;454558
28;metz;METZ;metz;123704;4267;54578;061037;490711
29;besancon;BESANCON;besancon;117691;4094;52491;060117;471432
30;caen;CAEN;caen;114007;-3008;54647;-002214;491056
31;orleans;ORLEANS;orleans;113089;-481;53225;015415;475408
32;mulhouse;MULHOUSE;mulhouse;110141;5558;53054;072021;474455
33;rouen;ROUEN;rouen;106560;-1371;54937;010609;492635
34;boulogne-billancourt;BOULOGNE-BILLANCOURT;boulogne billancourt;106316;-106;54262;021429;485007
35;perpignan;PERPIGNAN;perpignan;105096;620;47442;025341;424151
36;nancy;NANCY;nancy;103552;4274;54103;061101;484134
37;roubaix;ROUBAIX;roubaix;96959;938;56321;031051;504121
38;argenteuil;ARGENTEUIL;argenteuil;93932;-99;54387;021451;485652
39;tourcoing;TOURCOING;tourcoing;93531;915;56358;030937;504321
40;montreuil-93;MONTREUIL;montreuil;90735;118;54289;022635;485137
41;saint-denis-93;SAINT-DENIS;saint denis;85994;19;54373;022114;485608
42;avignon;AVIGNON;avignon;85937;2746;48832;044830;435655
43;versailles;VERSAILLES;versailles;85761;-225;54227;020803;484817
44;nanterre;NANTERRE;nanterre;84270;-148;54323;021213;485326
45;poitiers;POITIERS;poitiers;83507;-2224;51757;002007;463452
46;creteil;CRETEIL;creteil;81786;139;54212;022743;484726
47;aulnay-sous-bois;AULNAY-SOUS-BOIS;aulnay sous bois;80030;174;54374;022935;485611
48;vitry-sur-seine;VITRY-SUR-SEINE;vitry sur seine;78908;63;54209;022334;484715
49;pau;PAU;pau;78800;-3007;48112;-002212;431803
50;calais;CALAIS;calais;77317;-534;56608;015120;505651
51;rochelle-17;LA ROCHELLE;la rochelle;76711;-3875;51288;-010905;460934
52;colombes;COLOMBES;colombes;76690;-94;54360;021508;485525
53;asnieres-sur-seine;ASNIERES-SUR-SEINE;asnieres sur seine;75832;-57;54346;021708;485440
54;champigny-sur-marne;CHAMPIGNY-SUR-MARNE;champigny sur marne;74232;199;54241;023056;484902
55;rueil-malmaison;RUEIL-MALMAISON;rueil malmaison;73599;-165;54309;021118;485240
56;saint-maur-des-fosses;SAINT-MAUR-DES-FOSSES;saint maur des fosses;73071;180;54221;022956;484755
57;antibes;ANTIBES;antibes;72454;5318;48422;070723;433448
58;bourges;BOURGES;bourges;72434;66;52315;022344;470501
59;dunkerque;DUNKERQUE;dunkerque;70834;44;56709;022235;510216
60;courbevoie;COURBEVOIE;courbevoie;69665;-94;54330;021508;485350
61;beziers;BEZIERS;beziers;69359;977;48159;031258;432036
62;cannes;CANNES;cannes;67406;5205;48392;070117;433309
63;saint-nazaire-44;SAINT-NAZAIRE;saint nazaire;65868;-5051;52533;-021236;471646
64;colmar;COLMAR;colmar;65118;5576;53424;072118;480452
65;villeneuve-d-ascq;VILLENEUVE-D'ASCQ;villeneuve d ascq;64997;897;56248;030839;503722
66;valence-26;VALENCE;valence;64222;2838;49925;045327;445557
67;quimper;QUIMPER;quimper;63274;-7149;53329;-040552;475945
68;aubervilliers;AUBERVILLIERS;aubervilliers;63130;51;54346;022257;485440
69;drancy;DRANCY;drancy;62271;121;54359;022642;485524
70;merignac-33;MERIGNAC;merignac;61990;-3313;49825;-003842;445033
71;troyes;TROYES;troyes;60903;1935;53665;040441;481756
72;seyne-sur-mer;LA SEYNE-SUR-MER;la seyne sur mer;60070;3935;47892;055242;430611
73;neuilly-sur-seine;NEUILLY-SUR-SEINE;neuilly sur seine;59874;-77;54319;021603;485314
74;antony;ANTONY;antony;59849;-44;54170;021748;484512
75;lorient;LORIENT;lorient;59224;-6336;53051;-032159;474445
76;saint-quentin;SAINT-QUENTIN;saint quentin;59049;1054;55387;031708;495052
77;noisy-le-grand;NOISY-LE-GRAND;noisy le grand;58193;246;54271;023329;485038
78;sarcelles;SARCELLES;sarcelles;57851;46;54441;022241;485950
79;niort;NIORT;niort;56661;-3110;51472;-002744;461930
80;pessac;PESSAC;pessac;56151;-3298;49784;-003756;444821
81;venissieux;VENISSIEUX;venissieux;56014;2833;50775;045309;454149
82;chambery;CHAMBERY;chambery;55762;3982;50629;055515;453359
83;charleville-mezieres;CHARLEVILLE-MEZIERES;charleville mezieres;55481;2647;55302;044310;494617
84;beauvais;BEAUVAIS;beauvais;55371;-277;54927;020515;492603
85;cergy;CERGY;cergy;54816;-305;54484;020345;490209
86;levallois-perret;LEVALLOIS-PERRET;levallois perret;54750;-54;54326;021716;485336
87;cholet;CHOLET;cholet;54215;-3573;52288;-005247;470332
88;ajaccio;AJACCIO;ajaccio;52851;7111;46584;084411;415532
89;issy-les-moulineaux;ISSY-LES-MOULINEAUX;issy les moulineaux;52642;-75;54248;021609;484923
90;montauban;MONTAUBAN;montauban;51889;-1091;48908;012118;440102
91;vannes;VANNES;vannes;51759;-5664;52950;-024542;473918
92;hyeres;HYERES;hyeres;51412;4213;47910;060743;430708
93;evreux;EVREUX;evreux;51159;-1315;54471;010909;490124
